hs6_from,hs6_to,relationship
80121,80121,1:01
80122,80122,1:01
80131,80131,1:01
80132,80132,1:01
80211,80211,1:01
80212,80212,1:01
80221,80221,1:01
80222,80222,1:01
80231,80231,1:01
80232,80232,1:01
80241,80241,1:01
80242,80242,1:01
80251,80251,1:01
80252,80252,1:01
80261,80261,1:01
80262,80262,1:01
80270,80270,1:01
80280,80280,1:01
80291,80290,n:1
80292,80290,n:1
80299,80290,n:1
80310,80310,1:01
80390,80390,1:01
80410,80410,1:01
80420,80420,1:01
80430,80430,1:01
80440,80440,1:01
80450,80450,1:01
80510,80510,1:01
80521,80520,n:1
80522,80520,n:1
80529,80520,n:1
80540,80540,1:01
80550,80550,1:01
80590,80590,1:01
80610,80610,1:01
80620,80620,1:01
80711,80711,1:01
80719,80719,1:01
80720,80720,1:01
80810,80810,1:01
80830,80830,1:01
80840,80840,1:01
80910,80910,1:01
80921,80921,1:01
80929,80929,1:01
80930,80930,1:01
80940,80940,1:01
81010,81010,1:01
81020,81020,1:01
81030,81030,1:01
81040,81040,1:01
81050,81050,1:01
81060,81060,1:01
81070,81070,1:01
81090,81090,1:01
81110,81110,1:01
81120,81120,1:01
81190,81190,1:01
81210,81210,1:01
81290,81290,1:01
81310,81310,1:01
81320,81320,1:01
81330,81330,1:01
81340,81340,1:01
81350,81350,1:01
81400,81400,1:01
90111,90111,1:01
90112,90112,1:01
90121,90121,1:01
90122,90122,1:01
90190,90190,1:01
90210,90210,1:01
90220,90220,1:01
90230,90230,1:01
90240,90240,1:01
90300,90300,1:01
90411,90411,1:01
90412,90412,1:01
90421,90421,1:01
90422,90422,1:01
90510,90510,1:01
90520,90520,1:01
90611,90611,1:01
90619,90619,1:01
90620,90620,1:01
90710,90710,1:01
90720,90720,1:01
90811,90811,1:01
90812,90812,1:01
90821,90821,1:01
90822,90822,1:01
90831,90831,1:01
90832,90832,1:01
90921,90921,1:01
90922,90922,1:01
90931,90931,1:01
90932,90932,1:01
90961,90961,1:01
90962,90962,1:01
91011,91011,1:01
91012,91012,1:01
91020,91020,1:01
91030,91030,1:01
91091,91091,1:01
91099,91099,1:01
100111,100111,1:01
100119,100119,1:01
100191,100191,1:01
100199,100199,1:01
100210,100210,1:01
100290,100290,1:01
100310,100310,1:01
100390,100390,1:01
100410,100410,1:01
100490,100490,1:01
100510,100510,1:01
100590,100590,1:01
100610,100610,1:01
100620,100620,1:01
100630,100630,1:01
100640,100640,1:01
100710,100710,1:01
100790,100790,1:01
100810,100810,1:01
100821,100821,1:01
100829,100829,1:01
100830,100830,1:01
100840,100840,1:01
100850,100850,1:01
100860,100860,1:01
100890,100890,1:01
110100,110100,1:01
110220,110220,1:01
110290,110290,1:01
110311,110311,1:01
110313,110313,1:01
110319,110319,1:01
110320,110320,1:01
110412,110412,1:01
110419,110419,1:01
110422,110422,1:01
110423,110423,1:01
110429,110429,1:01
110430,110430,1:01
110510,110510,1:01
110520,110520,1:01
110610,110610,1:01
110620,110620,1:01
110630,110630,1:01
110710,110710,1:01
110720,110720,1:01
110811,110811,1:01
110812,110812,1:01
110813,110813,1:01
110814,110814,1:01
110819,110819,1:01
110820,110820,1:01
110900,110900,1:01
120110,120110,1:01
120190,120190,1:01
120230,120230,1:01
120241,120241,1:01
120242,120242,1:01
120300,120300,1:01
120400,120400,1:01
120510,120510,1:01
120590,120590,1:01
120600,120600,1:01
120710,120710,1:01
120721,120721,1:01
120729,120729,1:01
120730,120730,1:01
120740,120740,1:01
120750,120750,1:01
120760,120760,1:01
120770,120770,1:01
120791,120791,1:01
120799,120799,1:01
120810,120810,1:01
120890,120890,1:01
120910,120910,1:01
120921,120921,1:01
120922,120922,1:01
120923,120923,1:01
120924,120924,1:01
120925,120925,1:01
120929,120929,1:01
120930,120930,1:01
120991,120991,1:01
120999,120999,1:01
121010,121010,1:01
121020,121020,1:01
121120,121120,1:n
121120,200899,n:n
121130,121130,1:n
121130,140490,n:n
121140,121140,1:n
121140,140490,n:n
121150,121190,n:n
121150,140490,n:n
121160,121190,n:n
121160,140490,n:n
121160,200899,n:n
121190,121190,n:n
121190,140490,n:n
121190,200899,n:n
121221,121221,1:01
121229,121229,1:01
121291,121291,1:01
121292,121292,1:01
121293,121293,1:01
121294,121294,1:01
121299,121299,1:01
121300,121300,1:01
121410,121410,1:01
121490,121490,1:01
130120,130120,1:01
130190,130190,1:01
130211,130211,1:01
130212,130212,1:01
130213,130213,1:01
130214,130219,n:1
130219,130219,n:1
130220,130220,1:01
130231,130231,1:01
130232,130232,1:01
130239,130239,1:01
140110,140110,1:01
140120,140120,1:01
140190,140190,1:01
140420,140420,1:01
140490,140490,n:1
150110,150110,1:01
150120,150120,1:01
150190,150190,1:01
150210,150210,1:01
150290,150290,1:01
150300,150300,1:01
150410,150410,1:01
150420,150420,1:01
150430,150430,1:01
150500,150500,1:01
150600,150600,1:01
150710,150710,1:01
150790,150790,1:01
150810,150810,1:01
150890,150890,1:01
150920,150910,n:1
150930,150910,n:1
150940,150910,n:1
150990,150990,1:01
151010,151000,n:1
151090,151000,n:1
151110,151110,1:01
151190,151190,1:01
151211,151211,1:01
151219,151219,1:01
151221,151221,1:01
151229,151229,1:01
151311,151311,1:01
151319,151319,1:01
