hts8,quantity_code,unit_value
04069005,KG,1.2645621998918817
04069008,KG,5.327575612241839
04069012,KG,6.070994201668788
04069016,KG,5.92345296098722
04069018,KG,7.308608058608058
04069020,KG,6.356555529031061
04069025,KG,9.022100556628354
04069033,KG,4.328527600780932
04069041,KG,10.0646264691969
04069042,KG,14.55874555642586
04069043,KG,12.996774193548386
04069044,KG,6.0633829705994655
04069046,KG,5.954016720481583
04069048,KG,8.114216571512964
04069051,KG,1.2654342764411204
04069057,KG,30.025
04069059,KG,10.192287056914534
04069061,KG,19.13803112577471
04069063,KG,8.0625
04069068,KG,5.899268242585563
04069072,KG,11.39304347826087
04069074,KG,8.899873638417274
04069078,KG,5.442666666666667
04069082,KG,3.4333692632462647
04069084,KG,9.259549102628231
04069086,KG,5.407517309594461
04069088,KG,7.301408125577101
