id,gta_intervention_url,gta_act_title,gta_evaluation,hs_scope_1,hs_scope_2,hs_revision,partners,start_date,end_date,effect,rate_type,rate_value,unit,program,notes
78,https://globaltradealert.org/intervention/148071,"United States of America: Administration announces 10 percent additional ""reciprocal tariff"" on all imports (2 April 2025)",Red,all,NA,NA,Falkland Islands,2025-04-05,2025-07-31,adjust,adval,0.1,NA,liberation_day,Liberation Day
79,https://globaltradealert.org/intervention/148609,"United States of America: Administration announces 10 percent additional ""reciprocal tariff"" on all imports (2 April 2025)",Red,all,NA,NA,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",2025-04-05,NA,adjust,adval,0.1,NA,liberation_day,Liberation Day
80,https://globaltradealert.org/intervention/144100,United States of America: U.S. Administration announces 25 percent tariffs on automobile imports to address national security risks,Red,"hs6: 400912, 400922, 400932, 400942, 401110, 401120, 401219, 401220, 401310, 401699, 700721, 700910, 732010, 732020, 830120, 830210, 830230, 840731, 840732, 840733, 840734, 840820, 840991, 840999, 841330, 841391, 841430, 841459, 841480, 841520, 842123, 842132, 842549, 842691, 843110, 847130, 847141, 847149, 847150, 847160, 847170, 847180, 847190, 848210, 848220, 848240, 848250, 848310, 850132, 850133, 850134, 850140, 850151, 850152, 850710, 850760, 850790, 851110, 851120, 851130, 851140, 851150, 851180, 851190, 851220, 851230, 851240, 851290, 851981, 852560, 852721, 852729, 853641, 853710, 853720, 853910, 854430, 870600, 870710, 870790, 870810, 870821, 870822, 870829, 870830, 870840, 870850, 870870, 870880, 870891, 870893, 870894, 870895, 870899, 871690, 901510, 902910, 902920, 940120",NA,HS2022,"Albania, Algeria, Argentina, Australia, Austria, Bangladesh, Belarus, Belgium, Bosnia & Herzegovina, Brazil, Bulgaria, Cambodia, Chile, China, Colombia, Costa Rica, Croatia, Czechia, Republic of Korea, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Finland, France, Georgia, Germany, Greece, Guatemala, Honduras, Hong Kong, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Jordan, Latvia, Lebanon, Lithuania, Luxembourg, Macedonia, Malaysia, Malta, Morocco, Myanmar, Netherlands, New Zealand, Nicaragua, Norway, Oman, Pakistan, Paraguay, Peru, Philippines, Poland, Portugal, Republic of Moldova, Romania, Russia, Saint Kitts & Nevis, Saudi Arabia, Senegal, Serbia, Singapore, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, Ukraine, United Arab Emirates, United Kingdom, Uruguay, Vietnam",2025-05-03,NA,adjust,adval,0.25,NA,NA,Autos - expansion
81,https://globaltradealert.org/intervention/145040,"United States of America: Temporary tariff reduction on imported goods from China following bilateral US-China meeting (May 2025, extended until November 2025)",Green,all,NA,NA,"China, Hong Kong, Macao",2025-05-14,2025-11-10,adjust,adval,0.1,NA,liberation_day,Liberation Day
82,https://globaltradealert.org/intervention/145618,United States of America: U.S. Administration increases tariffs on imported steel and aluminium to 50 percent,Red,"hs6: 660390, 720610, 720690, 720711, 720712, 720719, 720720, 720810, 720825, 720826, 720827, 720836, 720837, 720838, 720839, 720840, 720851, 720852, 720853, 720854, 720890, 720915, 720916, 720917, 720918, 720925, 720926, 720927, 720928, 720990, 721011, 721012, 721020, 721030, 721041, 721049, 721050, 721061, 721069, 721070, 721090, 721113, 721114, 721119, 721123, 721129, 721190, 721210, 721220, 721230, 721240, 721250, 721260, 721310, 721320, 721391, 721399, 721410, 721420, 721430, 721491, 721499, 721510, 721550, 721590, 721610, 721621, 721622, 721631, 721632, 721633, 721640, 721650, 721699, 721710, 721720, 721730, 721790, 721810, 721891, 721899, 721911, 721912, 721913, 721914, 721921, 721922, 721923, 721924, 721931, 721932, 721933, 721934, 721935, 721990, 722011, 722012, 722020, 722090, 722100, 722211, 722219, 722220, 722230, 722240, 722300, 722410, 722490, 722511, 722519, 722530, 722540, 722550, 722591, 722592, 722599, 722611, 722619, 722620, 722691, 722692, 722699, 722710, 722720, 722790, 722810, 722820, 722830, 722840, 722850, 722860, 722870, 722880, 722920, 722990, 730110, 730120, 730210, 730230, 730240, 730290, 730411, 730419, 730422, 730423, 730424, 730429, 730431, 730439, 730441, 730449, 730451, 730459, 730490, 730511, 730512, 730519, 730520, 730531, 730539, 730590, 730611, 730619, 730621, 730629, 730630, 730640, 730650, 730661, 730669, 730690, 730721, 730722, 730723, 730729, 730791, 730792, 730793, 730799, 730810, 730820, 730830, 730840, 730890, 730900, 731010, 731021, 731029, 731100, 731210, 731290, 731300, 731412, 731414, 731419, 731420, 731431, 731439, 731441, 731442, 731449, 731450, 731511, 731512, 731519, 731520, 731581, 731582, 731589, 731590, 731600, 731700, 731811, 731812, 731813, 731814, 731815, 731816, 731819, 731821, 731822, 731823, 731824, 731829, 731940, 731990, 732010, 732020, 732090, 732111, 732112, 732119, 732181, 732182, 732189, 732190, 732219, 732290, 732310, 732393, 732394, 732399, 732410, 732429, 732490, 732591, 732599, 732611, 732619, 732620, 732690, 760110, 760120, 760410, 760421, 760429, 760511, 760519, 760521, 760529, 760611, 760612, 760691, 760692, 760711, 760719, 760720, 760810, 760820, 760900, 761010, 761090, 761410, 761490, 761510, 761520, 761610, 761699, 830210, 830220, 830230, 830241, 830242, 830249, 830250, 830260, 830510, 830630, 841459, 841590, 841899, 841950, 841990, 842290, 842490, 843131, 843142, 843149, 843210, 843290, 847330, 847989, 847990, 848190, 848690, 848790, 850300, 850870, 851390, 851590, 851690, 851771, 851779, 852990, 853690, 853810, 854190, 854390, 854790, 870810, 870829, 870880, 870899, 871680, 880730, 901390, 903190, 940199, 940310, 940320, 940399, 940599, 940620, 940690, 950611, 950651, 950659, 950670, 950691, 950699, 950730, 950790, 960390",NA,HS2022,"Albania, Algeria, Angola, Argentina, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Belarus, Belgium, Bosnia & Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Cambodia, Canada, Chile, China, Colombia, Costa Rica, Croatia, Czechia, Republic of Korea, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Ethiopia, Fiji, Finland, France, Georgia, Germany, Greece, Guatemala, Haiti, Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Ireland, Israel, Italy, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Latvia, Lithuania, Luxembourg, Macao, Macedonia, Malaysia, Malta, Mauritius, Mexico, Morocco, Mozambique, Myanmar, Netherlands, New Zealand, Nicaragua, Nigeria, Norway, Oman, Pakistan, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, Saudi Arabia, Serbia, Singapore, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, Uganda, Ukraine, United Arab Emirates, Venezuela, Vietnam",2025-06-04,NA,override,adval,0.5,NA,NA,NA
83,https://globaltradealert.org/intervention/145783,United States of America: Commerce Department expands tariffs on steel derivative imports,Red,"hs8: 84181000, 84512100, 84512900, 84501100, 84502000, 84221100, 84183000, 84184000, 85166040, 85098020, 94039990",NA,HS2022,"Australia, Austria, Belgium, Brazil, Bulgaria, Cambodia, Canada, China, Colombia, Czechia, Republic of Korea, Denmark, Dominican Republic, Finland, France, Germany, Guatemala, Hong Kong, Hungary, India, Indonesia, Israel, Italy, Japan, Latvia, Lithuania, Malaysia, Mexico, Netherlands, Philippines, Poland, Portugal, Romania, Singapore, Slovenia, Spain, Sweden, Switzerland, Thailand, Turkiye, Vietnam",2025-06-23,NA,adjust,adval,0.5,NA,NA,NA
84,https://globaltradealert.org/intervention/145784,United States of America: Commerce Department expands tariffs on steel derivative imports,Red,"hs8: 84181000, 84512100, 84512900, 84501100, 84502000, 84221100, 84183000, 84184000, 85166040, 85098020, 94039990",NA,HS2022,United Kingdom,2025-06-23,NA,adjust,adval,0.25,NA,NA,NA
85,https://globaltradealert.org/intervention/144446,"United States of America: Administration announces 10 percent additional ""reciprocal tariff"" on all imports (2 April 2025)",Red,all,NA,NA,China,2025-04-05,2025-04-08,adjust,adval,0.1,NA,liberation_day,Liberation Day
86,https://globaltradealert.org/intervention/144432,United States of America: U.S. Administration raises reciprocal tariffs on Chinese imports to 125% plus targets low-value imports,Red,all,NA,NA,"China, Hong Kong",2025-04-10,2025-05-13,adjust,adval,1.25,NA,liberation_day,Liberation Day
87,https://globaltradealert.org/intervention/80641,United States of America: Reimposition (and later removal) of restrictions on non-alloyed unwrought aluminum imported from Canada,Red,hs6: 760110,NA,HS2022,Canada,2020-08-16,2020-09-01,adjust,adval,0.1,NA,NA,NA
88,https://globaltradealert.org/intervention/142991,United States of America: U.S. Administration announces additional duties against China,Red,all,NA,NA,"China, Hong Kong",2025-02-04,2025-03-03,adjust,adval,0.1,NA,NA,Fentanyl
