hs6_2012,hts8_2012
071029,07102930
071029,07102940
071030,07103000
071040,07104000
071080,07108015
071080,07108020
071080,07108040
071080,07108045
071080,07108050
071080,07108060
071080,07108065
071080,07108070
071080,07108085
071080,07108093
071080,07108097
071090,07109011
071090,07109091
071120,07112018
071120,07112028
071120,07112038
071120,07112040
071140,07114000
071151,07115100
071159,07115910
071159,07115990
071190,07119020
071190,07119030
071190,07119050
071190,07119065
071220,07122020
071220,07122040
071231,07123110
071231,07123120
071232,07123200
071233,07123300
071239,07123910
071239,07123920
071239,07123940
071290,07129010
071290,07129015
071290,07129020
071290,07129030
071290,07129040
071290,07129060
071290,07129065
071290,07129070
071290,07129074
071290,07129078
071290,07129085
071310,07131010
071310,07131020
071310,07131040
071320,07132010
071320,07132020
071331,07133110
071331,07133120
071331,07133140
071332,07133210
071332,07133220
071333,07133310
071333,07133320
071333,07133340
071334,07133410
071334,07133420
071334,07133440
071335,07133500
071339,07133911
071339,07133921
071339,07133941
071340,07134010
071340,07134020
071350,07135010
071350,07135020
071360,07136010
071360,07136060
071360,07136080
071390,07139011
071390,07139050
071390,07139061
071390,07139081
071410,07141010
071410,07141020
071420,07142010
071420,07142020
071430,07143010
071430,07143020
071430,07143050
071430,07143060
071440,07144010
071440,07144020
071440,07144050
071440,07144060
071450,07145010
071450,07145020
071450,07145050
071450,07145060
071490,07149005
071490,07149010
071490,07149039
071490,07149041
071490,07149042
071490,07149044
071490,07149046
071490,07149048
071490,07149051
071490,07149061
080111,08011100
080112,08011200
080119,08011901
080121,08012100
080122,08012200
080131,08013100
080132,08013200
080211,08021100
080212,08021200
080221,08022100
080222,08022200
080231,08023100
080232,08023200
080241,08024100
080242,08024200
080251,08025100
080252,08025200
080261,08026100
080262,08026200
080270,08027010
080270,08027020
080280,08028010
080280,08028020
080290,08029010
080290,08029015
080290,08029020
080290,08029025
080290,08029082
080290,08029098
080310,08031010
080310,08031020
080390,08039000
080410,08041020
080410,08041040
080410,08041060
080410,08041080
080420,08042040
080420,08042060
080420,08042080
080430,08043020
080430,08043040
080430,08043060
080440,08044000
080450,08045040
080450,08045060
080450,08045080
080510,08051000
080520,08052000
080540,08054040
080540,08054060
080540,08054080
080550,08055020
080550,08055030
080550,08055040
080590,08059001
080610,08061020
080610,08061040
080610,08061060
080620,08062010
080620,08062020
080620,08062090
080711,08071130
080711,08071140
080719,08071910
080719,08071920
080719,08071950
080719,08071960
080719,08071970
080719,08071980
080720,08072000
080810,08081000
080830,08083020
080830,08083040
080840,08084020
080840,08084040
080910,08091000
080921,08092100
080929,08092900
080930,08093020
080930,08093040
080940,08094020
080940,08094040
081010,08101020
081010,08101040
081020,08102010
081020,08102090
081030,08103000
081040,08104000
081050,08105000
081060,08106000
081070,08107000
081090,08109027
081090,08109046
081110,08111000
081120,08112020
081120,08112040
081190,08119010
081190,08119020
081190,08119022
081190,08119025
081190,08119030
081190,08119035
081190,08119040
081190,08119050
081190,08119052
081190,08119055
081190,08119080
081210,08121000
081290,08129010
081290,08129020
081290,08129030
081290,08129040
081290,08129050
081290,08129090
081310,08131000
081320,08132010
081320,08132020
081330,08133000
081340,08134010
081340,08134015
081340,08134020
081340,08134030
081340,08134040
081340,08134080
081340,08134090
081350,08135000
081400,08140010
081400,08140040
081400,08140080
090111,09011100
090112,09011200
090121,09012100
090122,09012200
090190,09019010
090190,09019020
090210,09021010
090210,09021090
090220,09022010
090220,09022090
090230,09023000
090240,09024000
090300,09030000
090411,09041100
090412,09041200
090421,09042120
090421,09042140
090421,09042160
090421,09042180
090422,09042220
090422,09042240
090422,09042273
090422,09042276
090422,09042280
090510,09051000
090520,09052000
090611,09061100
090619,09061900
090620,09062000
090710,09071000
090720,09072000
090811,09081100
090812,09081200
090821,09082100
090822,09082220
090822,09082240
090831,09083100
090832,09083200
090921,09092100
090922,09092200
090931,09093100
090932,09093200
090961,09096100
090962,09096200
091011,09101100
091012,09101200
091020,09102000
091030,09103000
091091,09109100
091099,09109905
091099,09109906
091099,09109907
091099,09109910
091099,09109920
091099,09109940
091099,09109950
